TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
97997377409713186362769340787693461939642041060734110794090442736348726990433,1753969734898,1753969762859,1753969762911,,,,,28013
102036586094702445387925579951718599409381939727960489832798439133594636712957,1753969754970,1753969782631,1753969818958,1753969782793,1753969818958,,,63988
38295879834339850832661579678563446630877592478151193809458168792454114761748,1753969760041,1753969789280,1753969813572,1753969789510,1753969813572,,,53531
83074916451559895246976067054193566339033054499462544938175442988773736719322,1753969714219,1753969717585,1753969723573,1753969717648,1753969723573,,,9354
8144751546601369152493444990093744572988592950242570538931078794049757656279,1753969713797,1753969717818,1753969722737,1753969717878,1753969722737,,,8939
18457288554108608543469492865339410527467623208447855186675905691753495497676,1753969719403,1753969728693,1753969743348,1753969728840,1753969743348,,,23944
66293207257947716644313012240232532131067136900544736839336870047492657294617,1753969739991,1753969767636,1753969793580,1753969767763,1753969793580,,,53588
106031714035302353731637069725241142926587155767232602086657497096851855167246,1753969754922,1753969777857,1753969807764,1753969777891,1753969807764,,,52841
73706365491565479446976510391681114237478138328072901537867908433665979645072,1753969765186,1753969792875,1753969818865,1753969792928,1753969818865,,,53679
63613479145019970129004553808750336712038017439084227467980423529856914691169,1753969719420,1753969727964,1753969728102,,,,,8681
52505278981806088483644613262784425440476958993381458196701105639286020801907,1753969729716,1753969748541,1753969777891,1753969748620,1753969777891,,,48175
19557131659237453226478319283658333356211391848876030573816997345499184554554,1753969740010,1753969768534,1753969803360,1753969768582,1753969803360,,,63349
47832323846507511808897045282169665098527415008703251353970914451846131015052,1753969754947,1753969783548,1753969808576,1753969783629,1753969808576,,,53629
97494486697023494407649053293352560574378085014006939585961715177518023926505,1753969765196,1753969802995,1753969818951,1753969803360,1753969818951,,,53754
64962370270794423092986122863043015887898618903752120454564933579907638283301,1753969719417,1753969728693,1753969743092,1753969728840,1753969743092,,,23675
3217146606279283317720370733912713335532303431446138607434985525006376102599,1753969724547,1753969732613,1753969732757,,,,,8209
95966808163773990250776021942736868875057149581538996022392263147818133043179,1753969724621,1753969737848,1753969737887,,,,,13266
43937578705727750124062597857485307074691049355782385076544314712100861750036,1753969724577,1753969738537,1753969762764,1753969738616,1753969762764,,,38186
8498848188151065860081772214197194022239644792378593837904727276254366033534,1753969734837,1753969757980,1753969758076,,,,,23239
30138099479335020525109481787439906942949927546076333951833242121112702181081,1753969739981,1753969767636,1753969803135,1753969767763,1753969803135,,,63153
73432635622255900783034400441275146982771181305920288020540987449748220711044,1753969760048,1753969783530,1753969783596,,,,,23548
23063736590325210688922255034382150727997111035361183879436769035895410746280,1753969765162,1753969788687,1753969823616,1753969788791,1753969823616,,,58453
21969578403073809095639490611415527663308812912299838091807054915540028400652,1753969714254,1753969717585,1753969723578,1753969717648,1753969723578,,,9324
113085579606082871660904152955681653882191330947778837896874839458388321568658,1753969724545,1753969732848,1753969759185,1753969732890,1753969759185,,,34639
37117674147083220673310187556478243400041014737873622289085370998179699508819,1753969734827,1753969758992,1753969782940,1753969759185,1753969782940,,,48113
86285379608771868034173445365952068163579337992785548459051819595908286772157,1753969740007,1753969767636,1753969803135,1753969767763,1753969803135,,,63127
112034147598698797863583868430768555100378690921761359367506855115435260498609,1753969754994,1753969782877,1753969818958,1753969782940,1753969818958,,,63963
17129165021621853516663652530230194074859407675272707892735339993732010958546,1753969760055,1753969783530,1753969818958,1753969783596,1753969818958,,,58902
107505945221296457207896543545809981922827537435097765977724080106235043217718,1753969760109,1753969789280,1753969789510,,,,,29400
59463898790108928348691303951163675988527834991162988135511710821498988279887,1753969760056,1753969789280,1753969813572,1753969789510,1753969813572,,,53516
53452691464214375848427418248602989063324147669754591789859481027002516856797,1753969714248,1753969717585,1753969723573,1753969717648,1753969723573,,,9324
39151858680664003823796209079180792113067013901878910224842065959738101599854,1753969713980,1753969718493,1753969722737,1753969718583,1753969722737,,,8756
70519565367268949302661410116839563793084981307409821042544824411743260799584,1753969719369,1753969728716,1753969738560,1753969728892,1753969738560,,,19190
31235782711178854144681031120628431249289015260216411126294253536923567335742,1753969739967,1753969768545,1753969768619,,,,,28652
3286406943141069081376586107378924920919737185987222981978393953314054564740,1753969754928,1753969777857,1753969818958,1753969777891,1753969818958,,,64029
82394287684386330721873675827966159232201092458573919726664085968608409939127,1753969765223,1753969803759,1753969803846,,,,,38622
106960202161190516824606599641229737045512177823258874369363530978572005138329,1753969714332,1753969722606,1753969732890,1753969722737,1753969732890,,,18557
60112862025747302041639086461786455950573304064696911784565504921449796730567,1753969724615,1753969737623,1753969758796,1753969737757,1753969758796,,,34181
97690858940576328989792001767978040988467811359955327675434720356364840624294,1753969734860,1753969758689,1753969782793,1753969758796,1753969782793,,,47932
26006580403867859904790445825539838143366519597069451040673722673760122146277,1753969740024,1753969767860,1753969803360,1753969767914,1753969803360,,,63335
32482610254672269794293087472178620661203418852954300374739821208592435150820,1753969740040,1753969768534,1753969813602,1753969768582,1753969813602,,,73561
79178270330974872267285949613906968155424210858166885470728871135625740820582,1753969754974,1753969783548,1753969812755,1753969783629,1753969812755,,,57781
42000495463352498041075672820679042520549287275063470785079160543268509958970,1753969760093,1753969789280,1753969818079,1753969789510,1753969818079,,,57986
24007868752362172233137229703816679509221968423792663083361626177845195881785,1753969760048,1753969793551,1753969818079,1753969793629,1753969818079,,,58030
18058940110261597106997124141035494484007035681995625982215267945939457938593,1753969713972,1753969718507,1753969722877,1753969718605,1753969722877,,,8905
43098018476781336326217525823364852537339594056475820562068849367579963971311,1753969719432,1753969728716,1753969728892,,,,,9459
114743537273467898709143056609221833115055742268499516910435574386908884313602,1753969724581,1753969738537,1753969762764,1753969738616,1753969762764,,,38183
51614833404252192477056850027560545726255710408995679269128884418091233828102,1753969729776,1753969748528,1753969778612,1753969748589,1753969778612,,,48836
27559688105645337647066664738553506919513455866986843046243824465408872520441,1753969734844,1753969757980,1753969758076,,,,,23232
108935057142936826751200137774082387372323733451500647049606791173805249319286,1753969734835,1753969757980,1753969778573,1753969758076,1753969778573,,,43738
30323913396142615923065629451521201963147957484472117480019481497640661207789,1753969754948,1753969783548,1753969783629,,,,,28681
23990016581077634786624208950681682043543135724010845048156451505282398628138,1753969765220,1753969802995,1753969818079,1753969803360,1753969818079,,,52859
45624552037188684440855015236107687126142727104010471980951074966875239197058,1753969719416,1753969727851,1753969743884,1753969728505,1753969743884,,,24467
91156700858927623780899281627785096719166452199928622750607238420285764290388,1753969724525,1753969733520,1753969747932,1753969733575,1753969747932,,,23407
101406968646432345155687095920099837240833006419444587235060721991638584378032,1753969729672,1753969742981,1753969773999,1753969743092,1753969773999,,,44326
98649743592386456151566595916421370782019712305562842738537508668413786866924,1753969729768,1753969747624,1753969773792,1753969747781,1753969773792,,,44024
53750682532149234981840569413968400298492579468014228199154213346726140835434,1753969740005,1753969768534,1753969768582,,,,,28576
58741164746599368368726657577645708079717769900160525449017198182576385065419,1753969754908,1753969773697,1753969807764,1753969773792,1753969807764,,,52855
29116466788453124256291071647704985379046577049640579427751692314953589833579,1753969714221,1753969717585,1753969722877,1753969717648,1753969722877,,,8656
63929772056662936242624143078306092094113710785159360607931403038793821530357,1753969719394,1753969728716,1753969743348,1753969728892,1753969743348,,,23954
49570819772589480769018967181419604465273761998426111472873354666157562704875,1753969734893,1753969758689,1753969788870,1753969758796,1753969788870,,,53977
100936281912341651380093583291263463233285959237986732374586149953785868099539,1753969765205,1753969803019,1753969803135,,,,,37929
10537572332561585386530404603843650829716877938262240844400404016637614923804,1753969765264,1753969813541,1753969813602,,,,,48337
