EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Sum of Relay1 TCL (ms) (Duration: Relay1 Tx Propose -> Relay1 Tx Commit),Sum of Relay2 TCL (ms) (Duration: Relay2 Tx Propose -> Relay2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Relay1 Tx Propose -> Relay2 Tx Commit),Sum of All Tx TCL (sec.)
0,32657.00000000000000000000000000000000000000000000000000000000,9520,29440,16834,322398976,167014185,103142855,298362816,401518.82346308516571298241615295410156250000000000000000000000
1,37417.50000000000000000000000000000000000000000000000000000000,10835,32226,20939,899714918,557967073,302103856,965943263,1268062.89398417295888066291809082031250000000000000000000000000
2,19925.50000000000000000000000000000000000000000000000000000000,2040,5939,29832,246100823,859773495,84522606,1788697598,1873236.10348583501763641834259033203125000000000000000000000000
3,0.00000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0.00000000000000000000000000000000000000000000000000000000
