EpochID,Total tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,CTX ratio of this epoch
0,32657.00000000000000000000000000000000000000000000000000000000,23137.00000000000000000000000000000000000000000000000000000000,9520,29440,16834,0.70848516397709526692949566495371982455253601074218750000
1,37417.50000000000000000000000000000000000000000000000000000000,26582.50000000000000000000000000000000000000000000000000000000,10835,32226,20939,0.71042961181265451564570412301691249012947082519531250000
2,19925.50000000000000000000000000000000000000000000000000000000,17885.50000000000000000000000000000000000000000000000000000000,2040,5939,29832,0.89761862939449443832273800580878742039203643798828125000
3,0.00000000000000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000000000,0,0,0,NaN
