TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
59855273933218443435777639413196010522637367320111302498073869946600747393492,1753970604755,1753970633441,1753970633519,,,,,28764
106225923175026715662831793680545896103874325695747668583923636626294639960928,1753970615113,1753970643108,1753970668528,1753970643152,1753970668528,,,53415
49587034355845521226608291442297400801058990687549450829784435627565800519139,1753970615037,1753970643459,1753970663132,1753970643502,1753970663132,,,48095
77839147615467095042690465233611062852463739486322198033078569108529231008658,1753970569420,1753970578051,1753970588847,1753970578098,1753970588847,,,19426
101603880338334655073037204551722537264310466961605754700289662498872690786636,1753970585126,1753970613441,1753970644825,1753970613507,1753970644825,,,59698
323597613456394103822345984091148555174664461292252412718324826286780806316,1753970585142,1753970613441,1753970638144,1753970613507,1753970638144,,,53001
43503492970729130067955114772178241518080243223727998909228996161444215145650,1753970590238,1753970623433,1753970653143,1753970623500,1753970653143,,,62905
66957650295991323628657205296010902055358085380905640112220907177426911248736,1753970609946,1753970638467,1753970663132,1753970638525,1753970663132,,,53185
46779215888747076576969859438868655653252408507132588482380368844176481041377,1753970615272,1753970643108,1753970668863,1753970643152,1753970668863,,,53591
9388905501184989842994229425837662613505826782470884986568323503161710922727,1753970590208,1753970618740,1753970653143,1753970618883,1753970653143,,,62935
57581048159665077407703811809295016902742035184372171762148529705487659894836,1753970604792,1753970628468,1753970668511,1753970628523,1753970668511,,,63719
55992075621940134257686325764235494236350189058731547496849913771635712953650,1753970604807,1753970629055,1753970663494,1753970629292,1753970663494,,,58687
34369449121233908899166959950886452474105888412467694589436301582196865758015,1753970609983,1753970643459,1753970663132,1753970643502,1753970663132,,,53149
100394272078923764264358203022499836658587239606785906927388063968596422451264,1753970615189,1753970658448,1753970673475,1753970658514,1753970673475,,,58285
97493637333270179058782670734790303102575409763071242633250441458392034769215,1753970569539,1753970578051,1753970588847,1753970578098,1753970588847,,,19307
62106140588348725898656466502527092609708833839518310014692595231115342673821,1753970609967,1753970653446,1753970673475,1753970653523,1753970673475,,,63508
44403359514340625750083176448398941153475653259470503813281571076970127256601,1753970579809,1753970598452,1753970598639,,,,,18830
69675197978723175963677548852565648281342844366497869431464434568032684861553,1753970579810,1753970598452,1753970598639,,,,,18829
107256879343154390800133467802374867308030262475810033512755247163958145335569,1753970584928,1753970608103,1753970608143,,,,,23215
88350997341405378637098295763358119319661464748525087441675556600658261914135,1753970590246,1753970623748,1753970658126,1753970623878,1753970658126,,,67880
222378616265188474350234251872490893228654301269114699161466403317399169902,1753970604805,1753970628094,1753970628137,,,,,23331
81811700788882059081937837963991160274047040468718084527321986506002141356800,1753970569512,1753970578708,1753970578845,,,,,9332
92347766015238196612816890004626992009730301781365755203696964515778436702518,1753970569336,1753970578708,1753970593482,1753970578845,1753970593482,,,24146
38356496321606905414348044422309221053674961164367283909639229449211274283037,1753970579761,1753970593417,1753970623878,1753970593482,1753970623878,,,44117
47230590982206724549089913058296744799342594994354912312147622008172458377558,1753970584932,1753970608456,1753970608504,,,,,23572
72525163708312941953208295526411430036460432159034358535190591780734926459619,1753970604789,1753970628468,1753970628523,,,,,23734
93071185531068854391218119489042172293171036082541413431010984204019959959496,1753970604858,1753970633747,1753970633896,,,,,29038
18352773561256000983105052470916284105332064217013446516321456304940633950254,1753970609966,1753970638102,1753970673528,1753970638144,1753970673528,,,63562
12359569567741510002283758254269307325631284054494019661159665334008870953430,1753970564203,1753970568068,1753970573448,1753970568151,1753970573448,,,9245
22707693164250689728018806820379439143675823182244245740803644648280571665844,1753970574715,1753970593402,1753970593487,,,,,18771
3134581826717889051275174044778833151935270408646216822809017197348503525273,1753970609984,1753970643459,1753970643502,,,,,33517
61096527515970018698520565897098727563509299917948032586524292486325184308659,1753970615052,1753970653446,1753970668141,1753970653523,1753970668141,,,53088
90517621302699073297506708280514993540662441817184212154264266342203807187748,1753970584978,1753970608103,1753970638516,1753970608143,1753970638516,,,53538
41499745271601788337246160901389446289052503893458714105817469150055007586217,1753970609880,1753970633097,1753970633141,,,,,23260
30550170714038118984832916536209848491138797934728973196686204331897496995419,1753970574692,1753970588401,1753970613507,1753970588473,1753970613507,,,38814
112998617653270668547965157508824030260733365050565233830867459488498798646604,1753970579743,1753970593402,1753970623494,1753970593487,1753970623494,,,43750
105313686366460727661476010078572751938290804914412825145888952784722369382848,1753970585142,1753970614078,1753970614411,,,,,29268
27897634903982832733522913541275777617722357715766695730399188136214830582293,1753970590175,1753970618740,1753970653143,1753970618883,1753970653143,,,62968
87412429176519779971197878058582259195780841958137428976177722523247813704657,1753970590177,1753970618740,1753970658515,1753970618883,1753970658515,,,68337
63787372524492612633796786289510498285012037999274617327217596025343723220921,1753970564244,1753970568068,1753970568151,,,,,3906
19658524804427996146177938473445622948961956828835525956646520025559243769833,1753970564263,1753970568417,1753970568635,,,,,4371
66818226916951997710765471049565580525943676157805437076800518927752267298593,1753970569422,1753970578393,1753970578450,,,,,9027
73072807577116346449416559771885237898553713014020133218911633250624725498019,1753970579815,1753970598436,1753970623878,1753970598586,1753970623878,,,44063
98396013364405505152809645388300442377312669249420623700250750046159629634053,1753970585079,1753970613438,1753970613518,,,,,28439
55246100724298777876484584203762037635862532598945446565379663778799127153626,1753970590199,1753970618444,1753970653861,1753970618493,1753970653861,,,63661
85433258416217546700952395801836212994361978166834578006331472291004842373481,1753970590207,1753970618740,1753970658515,1753970618883,1753970658515,,,68307
395511058891627276241575727314440313979857151817488255375228949300719246892,1753970604734,1753970623096,1753970663512,1753970623135,1753970663512,,,58778
100712377057010434118155461667618229833346014030629824007202521274335704925521,1753970564291,1753970573396,1753970583512,1753970573448,1753970583512,,,19220
109225920886037613128459746718771938484239146299114231862123166458401292689451,1753970569336,1753970573396,1753970583512,1753970573448,1753970583512,,,14176
81070959576913648180990051511133251317956246142939603686095038518614472765108,1753970574671,1753970588709,1753970613129,1753970588847,1753970613129,,,38458
79547325671355176873210281932097829144029182350866017348361603702026603004348,1753970579784,1753970593417,1753970593482,,,,,13698
13152822317284154430349330015536895542861288037080413994130986288751086578492,1753970590251,1753970623439,1753970623494,,,,,33243
57450171226861267837036689636675359202689000905773078779171221280454255748045,1753970590262,1753970623748,1753970623878,,,,,33616
61101528534655235325227986173429715449240627732739658833983066255833573898911,1753970604823,1753970633442,1753970633507,,,,,28683
68431603818594195491409219822192923271806500739807622963983443580556711467922,1753970609880,1753970633747,1753970663132,1753970633896,1753970663132,,,53252
67402949387517696418592658302701112576714636517071330929460425623515434510217,1753970574679,1753970588401,1753970613507,1753970588473,1753970613507,,,38827
1077939006275965056657619318697681113665898652332396280526626336907058968899,1753970579790,1753970593067,1753970623500,1753970593105,1753970623500,,,43710
21921738551387360313196962119691259616432624932611608723905227646570377935346,1753970579799,1753970598436,1753970628541,1753970598586,1753970628541,,,48742
33148636717914987330088083440238994414260584081720292084009190151872622114535,1753970590220,1753970618740,1753970618883,,,,,28663
91854086220586335817574539409813149499488940802992824851366376948069858951567,1753970590263,1753970628444,1753970628541,,,,,38277
101083679219332535105888525675007066768129835803909741981486282475877381525119,1753970609927,1753970633097,1753970633141,,,,,23214
54110781160150063543527345735635658763210926917855103350252436393262682937251,1753970609936,1753970633097,1753970663870,1753970633141,1753970663870,,,53933
22973582542497331359055514684320737359773235234308177716885565776285549312059,1753970615170,1753970643108,1753970668528,1753970643152,1753970668528,,,53358
30848230231666665914995383366700610892686016215037594623154260515487485036197,1753970569345,1753970578051,1753970588847,1753970578098,1753970588847,,,19502
88061252784347735673140580671905290022636249340117606779417512050552789517028,1753970584988,1753970608456,1753970633896,1753970608504,1753970633896,,,48908
44195146822396918048756981497442316732493209679437273531538987878895791395764,1753970585104,1753970618435,1753970618513,,,,,33409
6750385015531032270433354127040157244369795339427780254961852558999615869340,1753970590256,1753970623439,1753970623494,,,,,33237
115292781019713893229133085194462520476671737732853967108470044824794626556730,1753970609891,1753970633097,1753970633141,,,,,23249
38322398513175908213323939563776767509371850143596927968750877931228167050333,1753970604790,1753970633441,1753970663494,1753970633519,1753970663494,,,58704
11815777794968127790847683767930226347164369790723969146684759665512748542049,1753970615142,1753970643108,1753970668528,1753970643152,1753970668528,,,53386
25158849552985467742345075078814397404647862267219375086136965427342880955822,1753970615394,1753970653464,1753970678452,1753970653519,1753970678452,,,63058
36260461876476167189411859827153406258606693758730977489858458706475584983235,1753970564215,1753970568917,1753970573448,1753970569121,1753970573448,,,9233
115006443199040465007822971283238962879397516717691017678512397860888547299099,1753970579815,1753970598068,1753970628541,1753970598126,1753970628541,,,48726
112243547902458545363474894568117489936159681218997454116282817916239859714953,1753970604797,1753970628468,1753970668511,1753970628523,1753970668511,,,63714
46036210757968910787636697009642404396613072191525890665147529718327752702747,1753970609923,1753970638847,1753970638974,,,,,29051
94372222551405717843698420606765198539997758673149553797449785443273209320468,1753970609932,1753970643480,1753970668528,1753970643538,1753970668528,,,58595
9249324675024074338677954109624432953858505842436626318264569586971198893340,1753970615457,1753970658453,1753970668141,1753970658515,1753970668141,,,52684
96398659313836289419020684895852852868279273959080449396503020211490520519057,1753970564277,1753970568417,1753970573740,1753970568635,1753970573740,,,9462
3920552686233172621295434536048578953247106041868004283038633310930616811237,1753970564278,1753970568417,1753970573448,1753970568635,1753970573448,,,9170
11347661529675947053317286893821787132124736453983453784383367146374624443464,1753970564269,1753970568917,1753970578450,1753970569121,1753970578450,,,14180
101142877775805814545427286159666590604735761000015069917117605342164002247752,1753970564303,1753970573381,1753970573431,,,,,9127
8675050267232086146322033028753493229697956000789572996528254770267460240883,1753970574630,1753970584042,1753970598126,1753970584368,1753970598126,,,23496
42530450771392700869343378835890260338621752885882620421339896224665181009983,1753970579835,1753970608450,1753970628137,1753970608517,1753970628137,,,48301
1986734433623516607021709877574126577830985805571647983658069572089466296176,1753970604793,1753970628468,1753970668511,1753970628523,1753970668511,,,63718
101057039631570387825833298370129110363771905706833206103372993500285228811969,1753970615076,1753970653446,1753970674531,1753970653523,1753970674531,,,59454
59031605413095565475353450273305681522101888466736977488450067202079043618758,1753970564230,1753970568068,1753970573448,1753970568151,1753970573448,,,9218
