EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Epoch start time,Epoch end time,Avg. TPS of this epoch
0,32657.00000000000000000000000000000000000000000000000000000000,9520,29440,16834,1753970568068,1753970599769,1030.14530709881842085451353341341018676757812500000000000000
1,37417.50000000000000000000000000000000000000000000000000000000,10835,32226,20939,1753970604375,1753970644825,925.04056032087805760966148227453231811523437500000000000000
2,19925.50000000000000000000000000000000000000000000000000000000,2040,5939,29832,1753970649382,1753970678452,685.44440252585343387181637808680534362792968750000000000000
3,0.00000000000000000000000000000000000000000000000000000000,0,0,0,1753970689387,1753970690430,0.00000000000000000000000000000000000000000000000000000000
