TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
21935346311599572711774056185675727313196809084030823663824007887450238452606,1753968968746,1753968992654,1753969022984,1753968992722,1753969022984,,,54237
3928756039428517601189782937493360104320072693851071761659940028562945330671,1753968994102,1753969016388,1753969047509,1753969016437,1753969047509,,,53407
43006362554045514869596447216135182873002825159597620394442849168553514440204,1753968994190,1753969021583,1753969047875,1753969021653,1753969047875,,,53685
51503961056535479726401764080552782721704889320025256163786212280693396499986,1753968999292,1753969026391,1753969057634,1753969026437,1753969057634,,,58341
60603103306168206878990569140815242929554753535778845771705173733464599999012,1753968994186,1753969027478,1753969053219,1753969027518,1753969053219,,,59033
79088937805446467231884717011830663961233504173258739666501566987502393759629,1753968999296,1753969042610,1753969057878,1753969042662,1753969057878,,,58582
6104015710639390443078065987266984272222566798842969342360439747348114401505,1753968947972,1753968952649,1753968957589,1753968952754,1753968957589,,,9617
49428171686595993737610024021869529780853772690158440399275090636274374780096,1753968947918,1753968952431,1753968957767,1753968952490,1753968957767,,,9849
96135900879164307853357077002654751002035380777021992024852646271479520017209,1753968973863,1753969002826,1753969002980,,,,,29116
14034787893105122659385353018775417072876954985241533495440177479967270479831,1753968988978,1753969012507,1753969042953,1753969012563,1753969042953,,,53974
101182172390418465735834519649387237742574270373376411990883730386261493811939,1753968948166,1753968952649,1753968962919,1753968952754,1753968962919,,,14753
89317692656210685455174184517991852149412826232400913917419937430401589123431,1753968953389,1753968963038,1753968977861,1753968963182,1753968977861,,,24471
114163882391596442174214134261163763840898742399353297787661806220731643593606,1753968958559,1753968972456,1753968972495,,,,,13935
2539630708898339448241235007233230295481749357761935354165523584163211806921,1753968963632,1753968976495,1753969002980,1753968976589,1753969002980,,,39348
54983829551300010729399935316199136094492683355643884566739773363275422388394,1753968963688,1753968981380,1753969012739,1753968981429,1753969012739,,,49050
60808788749001020980609913051726051810639307639142709763740211666622063163246,1753968968750,1753968997584,1753969021653,1753968997622,1753969021653,,,52903
5906834314072203961634375173671402464452760338567224461417715374086655515358,1753968989015,1753969012507,1753969047875,1753969012563,1753969047875,,,58860
107587581096322358519332014585778788266347427353534981643663587799691354077154,1753968994111,1753969022823,1753969046414,1753969022976,1753969046414,,,52303
34623208612436323753991496892883662328218030846897682857488495242270550164858,1753968948056,1753968952431,1753968952490,,,,,4433
81684633612498171463106496315872704961843424318726548687041317398116326312360,1753968953374,1753968962554,1753968962638,,,,,9263
86067147936009995056357335904456970332121285258869941404295829510241552039649,1753968958533,1753968972742,1753968972861,,,,,14328
109313343126593544805083274342118022509134819610537787698996590267054441066210,1753968963634,1753968977528,1753969008937,1753968977614,1753969008937,,,45303
107174488250659061394746934731573948169109829205306609293934432255643717320895,1753968989033,1753969017476,1753969052879,1753969017524,1753969052879,,,63846
2939267708197684995981628270583188837384068953095810680027079313751462303077,1753968994109,1753969023663,1753969052728,1753969023811,1753969052728,,,58619
6931364804540441290348778409056347350411310231794340372705015205564743581017,1753968999273,1753969037687,1753969062585,1753969037765,1753969062585,,,63311
98612388440689293401430470751862869351051829537181609638433994448736757217775,1753968953377,1753968962554,1753968962638,,,,,9260
8485889747008745846244437076669932764229061352776916348586700418206358419882,1753968958522,1753968972456,1753968997884,1753968972495,1753968997884,,,39362
79772110520003997980131116810022121817111030026647531749737969442338529274750,1753968988978,1753969012658,1753969041433,1753969012739,1753969041433,,,52455
16417094926849141592258729542265832272254338346830158932865099846245998272043,1753968973888,1753969001377,1753969038319,1753969001419,1753969038319,,,64430
66080777932054774779862257702260928241154873446756360769019126179967479294811,1753968948047,1753968952649,1753968957475,1753968952754,1753968957475,,,9428
29265041116093270369150946670474122379775927217005451851570606350962729808427,1753968958525,1753968972456,1753968997884,1753968972495,1753968997884,,,39359
112401335455134705567162579741021193512290843000738585168976998712767674011188,1753968958534,1753968972586,1753968972619,,,,,14084
93989161583046252835976029730191072113792294383605921901788181063768857855800,1753968963618,1753968977707,1753968977861,,,,,14242
102912121007229002710312720608050469149735647064552956815495400935803649031707,1753968963663,1753968982834,1753969007034,1753968983045,1753969007034,,,43371
43974753474854988888094282592186872021482665883181024487702244148995577634807,1753968973876,1753969001377,1753969001419,,,,,27542
86803581457990771350011576962237721984671061107404223321580994037956103785069,1753968994150,1753969023663,1753969023811,,,,,29660
35394905214193834545860144955945556441361704324919264136765930269450482618255,1753968958502,1753968967453,1753968992834,1753968967495,1753968992834,,,34331
97337966672269231602064762491802082424748256554942382423143690769908401196828,1753968968764,1753968993323,1753969017524,1753968993454,1753969017524,,,48759
39773093731503470417776608384093171911860228217588716069612992391450477286348,1753968968810,1753969002607,1753969037765,1753969002656,1753969037765,,,68954
36897279202569432645631216500663105903719216666874046305729249290805776281811,1753968988974,1753969012924,1753969041433,1753969013081,1753969041433,,,52459
47223444574979011098886832407104251486896655404635339092539885441739894160778,1753968994103,1753969022843,1753969046414,1753969022984,1753969046414,,,52311
53208147041686806113903048212248734817891401527422980847672321277936205560561,1753968999222,1753969026391,1753969052728,1753969026437,1753969052728,,,53505
67832014202506577200414641338349636193564921497938774340457571417787669177377,1753968999243,1753969027827,1753969062585,1753969027965,1753969062585,,,63342
55526777048203336310397861882131423773023962020933585252327046168105323271089,1753968999247,1753969037687,1753969037765,,,,,38517
64385140870021817798727522111285273139951696269489362916609747038904416298410,1753968953304,1753968962730,1753968971407,1753968962919,1753968971407,,,18102
50947566118320030216174745989248642727414883937365604706895796414672154094197,1753968958476,1753968967554,1753968981429,1753968967618,1753968981429,,,22952
89866264165019344481235980829112051174387822063884160614119410198370991554619,1753968958509,1753968972742,1753968996407,1753968972861,1753968996407,,,37897
86709259723773058425017338527752977831240717495633258717761185299604902214274,1753968963639,1753968978051,1753969012739,1753968978324,1753969012739,,,49099
73616918531394030990803237325676595104147664226116899955705185768824026871971,1753968963654,1753968982468,1753968982521,,,,,18867
70212113508529307422738136015179898537316995956117623176900226405849123079188,1753968963671,1753968982834,1753969012563,1753968983045,1753969012563,,,48892
61785220208106185688699385397417420731465080383522446481364753919132356475056,1753968963702,1753968992654,1753969011482,1753968992722,1753969011482,,,47779
33724518130017893402059591174607460257499625025616468964328562601342061526736,1753968968809,1753968997755,1753969021653,1753968997884,1753969021653,,,52843
4448426523649740144000163781062363803258756234438129933056262230896047501054,1753968947943,1753968952431,1753968952490,,,,,4546
31753835156922845128802274883603985068836239111508149397266104707076387365348,1753968953391,1753968963038,1753968977861,1753968963182,1753968977861,,,24469
