EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Epoch start time,Epoch end time,Avg. TPS of this epoch
0,32649.50000000000000000000000000000000000000000000000000000000,9505,29409,16880,1753968951334,1753968983045,1029.58087001766330104146618396043777465820312500000000000000
1,37470.50000000000000000000000000000000000000000000000000000000,10941,32495,20564,1753968988487,1753969027965,949.13876074925144621374784037470817565917968750000000000000
2,19880.00000000000000000000000000000000000000000000000000000000,1949,5701,30161,1753969033503,1753969062585,683.59453651357534909038804471492767333984375000000000000000
3,0.00000000000000000000000000000000000000000000000000000000,0,0,0,1753969073512,1753969074456,0.00000000000000000000000000000000000000000000000000000000
