EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Sum of Relay1 TCL (ms) (Duration: Relay1 Tx Propose -> Relay1 Tx Commit),Sum of Relay2 TCL (ms) (Duration: Relay2 Tx Propose -> Relay2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Relay1 Tx Propose -> Relay2 Tx Commit),Sum of All Tx TCL (sec.)
0,22479.00000000000000000000000000000000000000000000000000000000,13596,13086,4680,195854983,66655605,201084099,96149610,297242.69777810911182314157485961914062500000000000000000000000
1,19453.50000000000000000000000000000000000000000000000000000000,10907,10916,6177,474906640,262293904,478879877,380255192,859143.28168269409798085689544677734375000000000000000000000000
2,8067.50000000000000000000000000000000000000000000000000000000,794,701,13846,47092292,527370154,53339694,1097779483,1151126.47583326161839067935943603515625000000000000000000000000
3,0.00000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0.00000000000000000000000000000000000000000000000000000000
