EpochID,Total tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,CTX ratio of this epoch
0,22479.00000000000000000000000000000000000000000000000000000000,8883.00000000000000000000000000000000000000000000000000000000,13596,13086,4680,0.39516882423595356410572776439948938786983489990234375000
1,19453.50000000000000000000000000000000000000000000000000000000,8546.50000000000000000000000000000000000000000000000000000000,10907,10916,6177,0.43932968360449276001844509664806537330150604248046875000
2,8067.50000000000000000000000000000000000000000000000000000000,7273.50000000000000000000000000000000000000000000000000000000,794,701,13846,0.90158041524635890162642226641764864325523376464843750000
3,0.00000000000000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000000000,0,0,0,NaN
