EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Epoch start time,Epoch end time,Avg. TPS of this epoch
0,28221.00000000000000000000000000000000000000000000000000000000,8442,25992,13566,1753522980410,1753523006029,1101.58471437443586182780563831329345703125000000000000000000
1,32560.00000000000000000000000000000000000000000000000000000000,9120,27268,19612,1753523015517,1753523045987,1068.59914029094124998664483428001403808593750000000000000000
2,29219.00000000000000000000000000000000000000000000000000000000,4855,14323,34405,1753523055515,1753523085870,962.58442011840736540762009099125862121582031250000000000000
