EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Sum of Relay1 TCL (ms) (Duration: Relay1 Tx Propose -> Relay1 Tx Commit),Sum of Relay2 TCL (ms) (Duration: Relay2 Tx Propose -> Relay2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Relay1 Tx Propose -> Relay2 Tx Commit),Sum of All Tx TCL (sec.)
0,58662.00000000000000000000000000000000000000000000000000000000,16785,51233,32521,856291066,379595397,287272464,816647754,1103944.82008244842290878295898437500000000000000000000000000000
1,41338.00000000000000000000000000000000000000000000000000000000,24927,7055,25767,342844579,907010904,1238380771,1669123384,2907529.47568436479195952415466308593750000000000000000000000000
0,58662.00000000000000000000000000000000000000000000000000000000,16785,51233,32521,856291066,379595397,287272464,816647754,1103944.82008244842290878295898437500000000000000000000000000000
1,41338.00000000000000000000000000000000000000000000000000000000,24927,7055,25767,342844579,907010904,1238380771,1669123384,2907529.47568436479195952415466308593750000000000000000000000000
