EpochID,Total tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,CTX ratio of this epoch
0,28221.00000000000000000000000000000000000000000000000000000000,19779.00000000000000000000000000000000000000000000000000000000,8442,25992,13566,0.70086106091208677515425051751662977039813995361328125000
1,32560.00000000000000000000000000000000000000000000000000000000,23440.00000000000000000000000000000000000000000000000000000000,9120,27268,19612,0.71990171990171991645013349625514820218086242675781250000
2,29219.00000000000000000000000000000000000000000000000000000000,24364.00000000000000000000000000000000000000000000000000000000,4855,14323,34405,0.83384099387384924551014364624279551208019256591796875000
